Sample,EMPO3,Genome,PRK00290
1240.1204BCDNA,Water (saline),GCF_012272835.1,1.0251426813468425
1521.Iso4.1.s.7.1.sequences,Animal secretion,GCF_910664865.1,1.025852024085503
1235.sp1033,Water (saline),GCF_000257665.1,1.01269582133568
2192.H01a.Hand.160.lane2.NoIndex.L002,Animal surface,GCF_001945525.1,0.9998507365893786
933.W.3.2.S.E.4,Plant surface,GCF_014651675.1,1.0178428441016854
1627.BGC,Sediment (non-saline),GCF_017874355.1,1.236062377803941
1622.UPMain.108.109A,Sediment (non-saline),GCF_002977865.1,0.535686804378479
1665.IFAW10.163La.A.,Animal surface,GCF_900142565.1,1.0467469350491558
1665.D08982Dd,Animal surface,GCF_013377295.1,0.9121897500834656
809.PLRP12.60,Surface (non-saline),GCF_017795885.1,1.1416739029197809
894.SL863.lane3.NoIndex.L003,Animal distal gut,GCF_900094705.1,1.0148752619620225
632.Northern.peatlands,Soil (non-saline),GCF_016522075.1,1.1973980901689083
2192.H05b.Nose.2916.lane5.NoIndex.L005,Animal secretion,GCF_905397375.1,0.9396357166270568
1694.St3H8.r.EMPbird.v4.NoIndex.L001,Animal surface,GCF_902386495.1,0.0597228223897641
2192.H02a.Kitchen.Light.Switch.699.lane2.NoIndex.L002,Surface (non-saline),GCF_014640215.1,1.047771723441055
755.INA.12.07.11.lane1.NoIndex.L001,Water (non-saline),GCF_001557375.1,0.9933267577264768
1056.Das.nov.Flori.1,Animal distal gut,GCF_900240215.1,0.7397527430115525
2192.H01a.Nose.12.lane6.NoIndex.L006,Animal secretion,GCF_900447295.1,0.9554628965009548
1197.SE.20100928.GY.NF008.BC.093.a,Sediment (saline),GCF_011813015.1,1.136125277649728
1642.MS00533,Plant rhizosphere,GCF_009394435.1,1.238564773483484
2229.W1.N31.EH1.Thomas.CMB.Seaweed.lane5.NoIndex.L005,Plant surface,GCF_910664865.1,1.0258553443311564
755.LSSF.GAMMA.D5.22.07.11.lane1.NoIndex.L001,Soil (non-saline),GCF_013387485.1,0.9872077411585088
1773.Rhamp.carbo3.ugi,Animal proximal gut,GCF_014651675.1,1.0203869806400805
722.F11Fcsw.1.s.1.1.sequence,Animal distal gut,GCF_018913925.1,0.8696728141352165
1453.45796SDZ4.F5.Pnem.jeju,Animal proximal gut,GCF_016899585.1,0.8606323738590407
1453.44923SDZ3.C6.Pnem.stom,Animal proximal gut,GCF_910664865.1,0.5192197629527883
550.L6S164.s.6.sequence,Animal secretion,GCF_017565785.1,0.5579672538980791
1774.456.Inte.Puer,Animal distal gut,GCF_018913925.1,0.8810405138704733
1883.2011.491.Crump.Artic.LTREB.main.lane4.NoIndex,Water (saline),GCF_000257665.1,1.495137347156192
1632.E1F07.r.EMPbird.v4.NoIndex.L001,Animal surface,GCF_902386495.1,0.8030703830857384
678.seasonal.insitu.sample.559,Sediment (saline),GCF_011813015.1,1.0720494754940422
1521.69.W.s.6.1.sequences,Water (non-saline),GCF_015352455.1,1.03196872981695
945.P4.F10.lane2.NoIndex.L002,Water (non-saline),GCF_900112525.1,1.9867686025612632
905.SA.Station.6.tF,Sediment (saline),GCF_011813015.1,1.0027546323771204
722.CL3.2.s.2.1.sequence,Soil (non-saline),GCF_009394435.1,1.08724775926961
1883.2008.14.Crump.Artic.LTREB.main.lane2.NoIndex,Sediment (non-saline),GCF_009394435.1,1.1747146283719545
1774.430.Oral.Puer,Animal secretion,GCF_000162475.2,0.9998456742492052
1453.45187SDZ5.B7.Tfran.feces,Animal proximal gut,GCF_910664865.1,0.932780252545084
809.PLRP13.35,Surface (non-saline),GCF_015767245.1,0.9909897774813166
1721.R1B,Soil (non-saline),GCF_009394435.1,1.1342173787826944
1622.DP.41.42A.1,Sediment (non-saline),GCF_904425415.1,1.0306795904888542
1198.SWE09.KBA2.SS4.5,Sediment (saline),GCF_900143245.1,1.0973958053737716
2382.SH004.C1.RH.2.607.rhizo.9.12.lane7.NoIndex.L007.sequences,Plant rhizosphere,GCF_009394435.1,1.2700007044329915
1883.2002.042.Crump.Artic.LTREB.main.lane1.NoIndex,Water (non-saline),GCF_014876705.1,0.9996347215499072
1883.2011.112.Crump.Artic.LTREB.main.lane3.NoIndex,Water (non-saline),GCF_014644295.1,0.9509739649890256
1883.2007.278.Crump.Artic.LTREB.main.lane2.NoIndex,Surface (non-saline),GCF_012927405.1,1.0331534658411154
2382.SH007.C6.RH.5.724.leav.9.12.lane8.NoIndex.L008.sequences,Plant corpus,GCF_000423665.1,1.9972033559728328
804.H08.080105.Bio5slurpB1.0428.4.1,Surface (saline),GCF_015767245.1,0.9627317658589544
933.N.1.2.H.E.2,Plant surface,GCF_014651675.1,1.0338832766253223
804.3872.1530A,Surface (saline),GCF_905367745.1,1.005330264107511
1665.flipper.tag.41,Animal surface,GCF_905397375.1,0.974139428634096
2192.H03a.Bedroom.Floor.1348.lane5.NoIndex.L005,Surface (non-saline),GCF_003012815.1,1.031335587320649
1696.CT0010.3A,Animal distal gut,GCF_012028595.1,1.2168388064567492
662.M2,Surface (saline),GCF_001756615.1,1.0172267301854068
550.L6S116.s.6.sequence,Animal secretion,GCF_017565785.1,0.550416930395514
550.L5S224.s.5.sequence,Animal secretion,GCF_017565785.1,0.954065350349702
925.SE5x,Surface (non-saline),GCF_004685085.1,1.0078634014828127
776.SC.C.T1C,Soil (non-saline),GCF_900143245.1,1.0036701552914766
910.CuracaoCCA4B,Animal corpus,GCF_910575295.1,1.264153660880062
2192.H04a.Nose.1884.lane6.NoIndex.L006,Animal secretion,GCF_001945525.1,1.0289857451329003
894.SV1305.lane5.NoIndex.L005,Animal distal gut,GCF_003111625.1,1.0046372088709294
1673.MBS119.4D,Sediment (saline),GCF_910664865.1,1.1260708956379926
805.pH.7.5.year.2006,Soil (non-saline),GCF_015352455.1,1.232714721098089
755.INB.06.07.11.lane1.NoIndex.L001,Water (non-saline),GCF_009394435.1,1.1361229397238397
2300.BB.07.lavage100,Animal distal gut,GCF_902386405.1,0.1272886334137551
1034.ZKB1,Soil (non-saline),GCF_003012815.1,1.2988646980916865
1717.KBC1.experimental.plot,Soil (non-saline),GCF_002978245.1,1.3723696147710245
846.Fagna24102011Soil14B3,Soil (non-saline),GCF_009394435.1,1.3109939755364572
1579.MW.2.0,Soil (non-saline),GCF_009394435.1,1.2419945232829197
1747.DZF.612012.RJ.fecal,Animal distal gut,GCF_910664865.1,0.5077109326075343
1642.MS00459,Plant rhizosphere,GCF_009394435.1,1.2839983589408623
2300.BB.03.colon,Animal distal gut,GCF_910664865.1,0.4727200081610446
2192.H03a.Hand.1495.lane6.NoIndex.L006,Animal surface,GCF_910575295.1,0.9877096887444048
1622.UPMain.77.78,Sediment (non-saline),GCF_004127685.1,1.110818834566858
1674.McG.G110713Sp6,Soil (non-saline),GCF_009394435.1,1.1547599234396395
804.H03.072705.R0631,Surface (saline),GCF_011813015.1,1.0065292260648997
1521.Chi.2.s.8.1.sequences,Aerosol (non-saline),GCF_017872975.1,1.0006616349278377
1642.MS00486,Plant rhizosphere,GCF_009394435.1,1.0240084294427336
2182.VHPBC0014,Animal distal gut,GCF_902143525.1,1.0352359573661094
1692.Soil.BE.PolygonC.Shallow.Rim.08.11.2012,Soil (non-saline),GCF_009394175.1,1.4209348895337914
1883.2008.439.Crump.Artic.LTREB.main.lane2.NoIndex,Surface (non-saline),GCF_012927405.1,1.05202976712113
2192.H06b.Bathroom.Door.Knob.3318.lane5.NoIndex.L005,Surface (non-saline),GCF_001945525.1,0.9714138861493804
933.T.2.2.H.P.1,Plant surface,GCF_003013815.1,1.0041420011588107
805.pH.6.5.year.2007,Soil (non-saline),GCF_009394435.1,1.1220595273773362
1632.E4E07.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,Animal surface,GCF_902386495.1,1.123286231536967
1064.H.CJV196,Animal corpus,GCF_016100925.1,1.038722796694501
1622.UPMain.137.138,Sediment (non-saline),GCF_902374445.1,0.7644574146376332
755.LSSF.DELTA.D1.14.07.11.lane1.NoIndex.L001,Soil (non-saline),GCF_009394435.1,1.06139529617404
638.FRX9.120710.1,Water (non-saline),GCF_015352455.1,1.0744929062989912
550.L6S35.s.6.sequence,Animal secretion,GCF_017565785.1,0.6886189802553928
963.Iguana.14.053010.BCO.vial.190,Animal distal gut,GCF_000162475.2,0.9875090113197332
1521.Aphid8.s.7.1.sequences,Animal secretion,GCF_903968575.1,1.0
910.AcrLT4,Animal corpus,GCF_910575295.1,1.0336537932956045
1642.MS00385,Plant rhizosphere,GCF_009394435.1,1.1113167175767322
1721.R26M,Soil (non-saline),GCF_004834005.1,1.126137404523568
1521.MZ.59b.s.8.1.sequences,Aerosol (non-saline),GCF_019132105.1,0.8336714240542092
723.C6.5m.L3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,Water (saline),GCF_000257665.1,0.945293854463445
2192.H02a.Kitchen.Light.Switch.675.lane2.NoIndex.L002,Surface (non-saline),GCF_901873495.1,1.0005203297155965
1622.UPMain.10.11B,Sediment (non-saline),GCF_004127685.1,1.4209283436509264
1453.44568SDZ5.G5.Pnem.feces,Animal proximal gut,GCF_018408705.1,0.5323170627279892
1453.44568SDZ5.C8.Pnem.stom,Animal proximal gut,GCF_016899585.1,0.7866334556055605
804.3869.1443E,Surface (saline),GCF_011813015.1,1.0055517626315966
1747.907019.exhibit.dirt.plant,Plant corpus,GCF_009394435.1,1.0683951962440872
1642.MS00560,Plant rhizosphere,GCF_009394435.1,0.6495252683684023
1235.sp1298,Water (saline),GCF_000257665.1,1.0564565280494935
1197.SD.20100920.GY.FFMT6.BC.015,Sediment (saline),GCF_905397375.1,1.0541975626310438
1883.2007.092.Crump.Artic.LTREB.main.lane1.NoIndex,Sediment (non-saline),GCF_009394435.1,1.105085665156461
1043.Hopland.20C.Wood.TP1.04,Soil (non-saline),GCF_016522075.1,1.1119299434857302
678.OA.mesocosm.399,Sediment (saline),GCF_002978535.1,0.9993863337701618
1747.DZF.672012.KK.fecal,Animal distal gut,GCF_902362985.1,1.2033682872577058
1622.UPSub.10.11,Sediment (non-saline),GCF_004127685.1,1.2871714563662529
1453.45796SDZ4.E8.Pnem.duod,Animal proximal gut,GCF_910664865.1,0.8016855057954687
2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences,Plant rhizosphere,GCF_009394435.1,1.0799748459105103
1774.402.Vagi.Puer,Animal secretion,GCF_902388185.1,0.8567973079481351
846.Fagna24102011Soil4C2,Soil (non-saline),GCF_009394435.1,1.1971889621683376
678.T.RFLP.Sample.823,Sediment (saline),GCF_003258705.1,1.129526585250792
1453.45796SDZ4.G7.Pnem.stom,Animal proximal gut,GCF_910664865.1,0.9934563578152004
945.P11.C9.lane3.NoIndex.L003,Water (non-saline),GCF_016899585.1,0.9998942591862908
933.N.3.3.S.E.4,Plant surface,GCF_014651675.1,1.0459986062575464
894.YY1078.lane5.NoIndex.L005,Animal distal gut,GCF_016025255.1,1.3254576133856515
2382.MU002.C3.HA.1.677.rhizo.9.12.lane7.NoIndex.L007.sequences,Plant rhizosphere,GCF_009394435.1,1.0095992106693523
1883.2011.345.Crump.Artic.LTREB.main.lane4.NoIndex,Surface (non-saline),GCF_012927405.1,0.9970552177289402
2192.H07b.Nose.4164.lane1.NoIndex.L001,Animal secretion,GCF_014490725.1,0.9582834503041264
1747.L00376.81512.leftarmpit,Animal surface,GCF_014876705.1,0.7270212577982464
2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences,Plant rhizosphere,GCF_009394435.1,1.184385004153406
1242.ME14Sep10EB1R1,Water (non-saline),GCF_015999335.1,0.9380915334009768
1240.1101TCDNA,Water (saline),GCF_900114125.1,0.935772132829491
2192.H03a.Nose.1377.lane6.NoIndex.L006,Animal secretion,GCF_001945525.1,1.003189243126159
1453.45796SDZ4.H4.Pnem.stom,Animal proximal gut,GCF_910664865.1,1.0090548783813582
1289.KH24,Soil (non-saline),GCF_009394435.1,1.1607869836027558
2229.S1.N33.EH5.Thomas.CMB.Seaweed.lane5.NoIndex.L005,Plant surface,GCF_014280095.1,1.0195683394048287
1453.44923SDZ2.H3.Pnem.stom,Animal proximal gut,GCF_910664865.1,0.1276345069122229
1521.SPL.Sum.9.s.8.1.sequences,Aerosol (non-saline),GCF_910664865.1,0.9200656843783172
1578.Os.low.16to0.2,Soil (non-saline),GCF_002094575.1,1.1277504468614363
925.SC4x,Surface (non-saline),GCF_902387655.1,0.999188709319862
1674.McG.F110714Jr3R3,Soil (non-saline),GCF_009394435.1,1.086916369196166
1622.UPMain.9.10,Sediment (non-saline),GCF_002978245.1,1.3388366764777284
1034.CHG3,Soil (non-saline),GCF_002094575.1,0.9374857665050752
1627.LMC,Sediment (saline),GCF_003012815.1,1.0775815131351525
2192.H03a.Kitchen.Light.Switch.1491.lane5.NoIndex.L005,Surface (non-saline),GCF_001060545.1,0.990303036456902
1453.45300SDZ4.D4.Pnem.stom,Animal proximal gut,GCF_910664865.1,1.0084006991339214
1197.SE.20100927.GY.ALTNF015.BC.070.a,Sediment (saline),GCF_011813015.1,1.1309422578032582
933.T.2.3.S.E.3,Plant surface,GCF_014651675.1,1.0237708552395723
958.O.22,Animal secretion,GCF_000162475.2,0.3365261461205154
550.L6S60.s.6.sequence,Animal secretion,GCF_017565785.1,0.7061641421394366
1642.MS00390,Plant rhizosphere,GCF_009394435.1,0.9735167451723704
1621.Q8839,Animal distal gut,GCF_910664865.1,0.9554282313146664
1064.G.CV93,Animal corpus,GCF_016100925.1,1.00100120144173
1883.2008.116.Crump.Artic.LTREB.main.lane2.NoIndex,Sediment (non-saline),GCF_009394435.1,1.3251051130742133
1734.LD.DTS1222,Animal distal gut,GCF_902386495.1,0.8944179578873317
1883.2007.101.Crump.Artic.LTREB.main.lane2.NoIndex,Sediment (non-saline),GCF_009394435.1,1.2138386108710608
925.IC4x,Surface (non-saline),GCF_003959395.1,1.34483359470291
1198.SWE24.KBB2.SS4.5,Sediment (saline),GCF_900143245.1,1.0835485031059735
1030.TVF.2004.Loc3.D0.Rep3,Soil (non-saline),GCF_003751275.1,1.0488211867533304
1774.2BI22.10.09,Animal surface,GCF_017877355.1,1.0260144900431758
2192.H07b.Kitchen.Light.Switch.4107.lane2.NoIndex.L002,Surface (non-saline),GCF_900455935.1,0.9977977368693888
1289.KH8,Soil (non-saline),GCF_009394435.1,1.1440773216752629
1041.M028.10m.off.bottom,Water (non-saline),GCF_004127515.1,0.8255017361045047
940.CR.38.Fecal,Animal distal gut,GCF_015767245.1,1.0016357281742088
722.SLEpi20M.2.s.2.1.sequence,Water (non-saline),GCF_014644295.1,0.9763689004492015
1036.P.C.21.2.s.4.1.sequences,Soil (non-saline),GCF_007093765.1,1.0762122043569016
2300.BB.4067.colon,Animal distal gut,GCF_016899585.1,0.6506924395796777
755.INA.10.05.11.lane1.NoIndex.L001,Water (non-saline),GCF_905397375.1,1.0625639862991432
1883.2007.253.Crump.Artic.LTREB.main.lane2.NoIndex,Surface (non-saline),GCF_012927405.1,0.9580024713160812
1696.VH0010B,Animal distal gut,GCF_902143525.1,1.1542045491382302
1748.5.15.12.FI.14.V,Animal surface,GCF_017908035.1,0.6777390642226867
1665.IFAW12.018Dd.A,Animal surface,GCF_002978535.1,0.981331688330039
1642.MS00493,Plant rhizosphere,GCF_009394435.1,1.1359216017062843
1580.BBB.number1.filt.,Water (saline),GCF_900163565.1,1.017620136342524
1526.HCanyon12R1,Soil (non-saline),GCF_900067705.2,1.3373123639934117
1030.TVF.Control.Loc2.D10.Rep4,Soil (non-saline),GCF_016522075.1,1.0505997979730273
2229.S1.N1.7.HE1.Thomas.CMB.Seaweed.lane6.NoIndex.L006,Plant surface,GCF_017329545.1,1.0347905102644284
2338.0701.17.M,Animal distal gut,GCF_900155545.1,0.9994410692892468
963.Iguana.47.060910.HPT.vial.246,Animal distal gut,GCF_016522075.1,0.6512142468570171
1674.McG.F110714Jr1H3,Soil (non-saline),GCF_003012815.1,1.0674206083320634
1453.44899SDZ3.G5.Pnem.duod,Animal proximal gut,GCF_910664865.1,1.3013499699975055
1883.2010.294B.Crump.Artic.LTREB.main.lane3.NoIndex,Surface (non-saline),GCF_012927405.1,1.083308699746151
2192.H07b.Kitchen.Floor.4178.lane6.NoIndex.L006,Surface (non-saline),GCF_900447295.1,0.9871537162520522
1064.G.CV264,Animal corpus,GCF_900094785.1,0.9962029294631034
678.OA.mesocosm.403,Sediment (saline),GCF_900116175.1,1.0314113936374334
1774.8Oral22.10.09,Animal secretion,GCF_000162475.2,0.907636507294016
990.KA3U.D.23,Soil (non-saline),GCF_015352455.1,1.64749127855124
2338.0627.2.I,Animal distal gut,GCF_902386495.1,0.544394112697205
1883.2011.528.Crump.Artic.LTREB.main.lane4.NoIndex,Sediment (saline),GCF_900167935.1,1.086225335924238
550.L4S124.s.4.sequence,Animal surface,GCF_902386495.1,0.9410748970346842
1665.JMA2012AUG17.03,Animal surface,GCF_910664865.1,0.97746919069263
1481.NA.15.T0,Animal distal gut,GCF_018913925.1,0.7659746726803391
1748.5.15.12.FI.9.D,Animal surface,GCF_009905605.1,0.9632117228707744
1222.B5.5.17.06,Water (saline),GCF_000257665.1,1.013182631364847
2192.H05b.Kitchen.Light.Switch.2811.lane6.NoIndex.L006,Surface (non-saline),GCF_910575295.1,0.9571909150388572
2382.RU006.C181.RH.2.583.root.4.12.lane7.NoIndex.L007.sequences,Plant rhizosphere,GCF_009394435.1,1.0858695076104006
1453.45300SDZ3.F8.Pnem.stom,Animal proximal gut,GCF_910664865.1,0.9822956802462725
1715.McG.NN1,Soil (non-saline),GCF_002094495.1,1.547245124104029
1736.R19.0910,Animal distal gut,GCF_003111625.1,1.019639921407365
1521.MZ.62b.s.8.1.sequences,Aerosol (non-saline),GCF_004299615.1,0.9246642928395128
1288.NSBE27June07.McMahon.Pool.2.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.2.1.sequence,Water (non-saline),GCF_016522075.1,1.022515283848887
722.M31Fcsw.7.s.8.1.sequence,Animal distal gut,GCF_018913925.1,0.7380635862606206
2192.H02a.Bathroom.Door.Knob.918.lane2.NoIndex.L002,Surface (non-saline),GCF_901873495.1,1.0
1883.2009.165.Crump.Artic.LTREB.main.lane3.NoIndex,Surface (non-saline),GCF_012927405.1,1.07244731044586
889.26May.1,Water (saline),GCF_012927405.1,1.012354144811071
1774.352.Inte.Puer,Animal distal gut,GCF_001457835.1,0.6245649706080014
1043.Hopland.14C.Control.TP1.03,Soil (non-saline),GCF_900107175.1,1.036127749929876
1064.W.CV278,Animal corpus,GCF_016100875.1,1.0
1242.ME09Jun06EB2R1,Water (non-saline),GCF_004358105.1,1.0036000821142128
1774.257.Skin.Puer,Animal surface,GCF_015999335.1,0.9245790550918036
1632.E2D08.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,Animal surface,GCF_902386495.1,0.9924489857070088
2192.H06b.Nose.3135.lane6.NoIndex.L006,Animal secretion,GCF_910575295.1,0.9520949942904744
1622.UPMain.138.139,Sediment (non-saline),GCF_002977865.1,0.8515786491134807
678.seasonal.insitu.sample.593,Sediment (saline),GCF_011813015.1,1.0354579137657205
933.T.3.1.S.E.2,Plant surface,GCF_009394435.1,1.0970357833289
1747.rinca.51.101212,Animal distal gut,GCF_910664865.1,0.2228201435480247
2192.H07a.Kitchen.Counter.3769.lane2.NoIndex.L002,Surface (non-saline),GCF_902386495.1,0.1498798760485971
1627.AYC,Sediment (saline),GCF_009394435.1,1.181321081278545
550.L1S198.s.1.sequence,Animal distal gut,GCF_018913925.1,0.5427358599980717
925.SK1x,Surface (non-saline),GCF_018304805.1,1.217308741526908
1716.McG.PAPrS15,Soil (non-saline),GCF_009394435.1,1.2577435759615525
933.W.2.1.S.E.2,Plant surface,GCF_015330165.1,1.0042687540958677
2229.W1.T32.PH3.Thomas.CMB.Seaweed.lane6.NoIndex.L006,Plant surface,GCF_014651675.1,1.0047713717693838
1521.47.W.s.6.1.sequences,Water (non-saline),GCF_009394435.1,1.0001207079380816
1056.Tam.tet.tet.SanDi.1,Animal distal gut,GCF_018913925.1,0.9534605485392648
1774.435.Vagi.Puer,Animal secretion,GCF_902374445.1,0.8459665432895125
808.FL.3.14a.s.4.1.sequences,Soil (non-saline),GCF_002978245.1,0.8447851151338157
1642.MS00638,Plant rhizosphere,GCF_009394435.1,0.9487274983707088
2192.H03a.Nose.1356.lane6.NoIndex.L006,Animal secretion,GCF_001888055.1,1.0149884064099173
940.CR.57.Fecal,Animal distal gut,GCF_015999335.1,1.075375143261759
1622.UPSub.251.252A,Sediment (non-saline),GCF_002978655.1,0.8729287393065472
2192.H01a.Nose.249.lane6.NoIndex.L006,Animal secretion,GCF_015352455.1,1.085003005734862
2192.H01a.Nose.162.lane6.NoIndex.L006,Animal secretion,GCF_015352455.1,1.0334900650418548
1773.Columb.passer1.gizz,Animal proximal gut,GCF_902373885.1,0.986797847112069
1714.McG.PA1020,Soil (non-saline),GCF_018913775.1,0.8135948272303579
723.IC4.S1.L3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence,Water (saline),GCF_900143245.1,0.8296699177065447
1642.MS00526,Plant rhizosphere,GCF_009394435.1,1.2179871857445856
925.IO3z,Surface (non-saline),GCF_018304805.1,1.0306789715002451
925.SG3y,Surface (non-saline),GCF_002760475.1,1.3269114990969295
1240.2906T,Water (saline),GCF_014164585.1,1.0289599222974373
940.RD.30.Ventral,Animal surface,GCF_015767245.1,1.0844698325977664
1883.2007.222.Crump.Artic.LTREB.main.lane2.NoIndex,Surface (non-saline),GCF_012927405.1,1.0893191345633908
2192.H02a.Nose.801.lane6.NoIndex.L006,Animal secretion,GCF_902386495.1,1.3660512864431191
1774.20BI22.10.09,Animal surface,GCF_003121965.1,0.9292036345320328
2229.W1.T2.6.HP1.Thomas.CMB.Seaweed.lane5.NoIndex.L005,Plant surface,GCF_017795885.1,1.0145349230623486
1622.UPMain.88.89,Sediment (non-saline),GCF_015476545.1,0.9055036280975236
550.L6S131.s.6.sequence,Animal secretion,GCF_017565785.1,0.8148488056280886
1235.sp1338,Water (saline),GCF_900143245.1,1.0149472520128568
864.8.CON.addV.addG.noW.A.lane2.NoIndex,Soil (non-saline),GCF_009394435.1,1.004690191580511
1696.CT0015.2,Animal distal gut,GCF_018785585.1,0.8910760782606603
722.M31Plmr.4.s.4.1.sequence,Animal surface,GCF_902386495.1,0.9974143965761176
1240.2610BCDNA,Water (saline),GCF_900114125.1,0.9885390832985008
