Sample,PRK00290,latitude_deg,longitude_deg,EMPO1,EMPO2,EMPO3
2192.H07a.Kitchen.Counter.3721.lane2.NoIndex.L002,0.9076821971345984,41.88,-87.63,Free-living,Non-saline,Surface (non-saline)
1521.Sample20.s.7.1.sequences,0.6468540667435695,19.9,-155.58,Host-associated,Animal,Animal secretion
2382.SH008.C6.HA.4.543.root.4.12.lane7.NoIndex.L007.sequences,1.0851793667342755,41.01441,-72.52852,Host-associated,Plant,Plant rhizosphere
2182.Z1RA,1.000322720579906,40.417,-86.875,Host-associated,Animal,Animal distal gut
1773.Columb.passer3.gizz.ugi,0.9490279336033134,11.035278,63.845556,Host-associated,Animal,Animal proximal gut
1240.1204BCDNA,1.0251426813468425,50.15,-4.13,Free-living,Saline,Water (saline)
1521.Iso4.1.s.7.1.sequences,1.025852024085503,19.9,-155.58,Host-associated,Animal,Animal secretion
1235.sp1033,1.01269582133568,78.933,11.883,Free-living,Saline,Water (saline)
2192.H01a.Hand.160.lane2.NoIndex.L002,0.9998507365893786,41.88,-87.63,Host-associated,Animal,Animal surface
933.W.3.2.S.E.4,1.0178428441016854,-30.310467,114.5842,Host-associated,Plant,Plant surface
1627.BGC,1.236062377803941,33.48,79.79,Free-living,Non-saline,Sediment (non-saline)
1622.UPMain.108.109A,0.535686804378479,42.06,-71.37761,Free-living,Non-saline,Sediment (non-saline)
1665.IFAW10.163La.A.,1.0467469350491558,41.92751,-70.01949,Host-associated,Animal,Animal surface
1665.D08982Dd,0.9121897500834656,43.1336,-68.32664,Host-associated,Animal,Animal surface
809.PLRP12.60,1.1416739029197809,50.867,-121.736,Free-living,Non-saline,Surface (non-saline)
894.SL863.lane3.NoIndex.L003,1.0148752619620225,-37.681999,145.293841,Host-associated,Animal,Animal distal gut
632.Northern.peatlands,1.1973980901689083,67.54,-139.86,Free-living,Non-saline,Soil (non-saline)
2192.H05b.Nose.2916.lane5.NoIndex.L005,0.9396357166270568,41.88,-87.63,Host-associated,Animal,Animal secretion
1694.St3H8.r.EMPbird.v4.NoIndex.L001,0.0597228223897641,37.252803,-3.029153,Host-associated,Animal,Animal surface
2192.H02a.Kitchen.Light.Switch.699.lane2.NoIndex.L002,1.047771723441055,41.88,-87.63,Free-living,Non-saline,Surface (non-saline)
755.INA.12.07.11.lane1.NoIndex.L001,0.9933267577264768,55.905,-3.204,Free-living,Non-saline,Water (non-saline)
1056.Das.nov.Flori.1,0.7397527430115525,28.517,-80.667,Host-associated,Animal,Animal distal gut
2192.H01a.Nose.12.lane6.NoIndex.L006,0.9554628965009548,41.88,-87.63,Host-associated,Animal,Animal secretion
1197.SE.20100928.GY.NF008.BC.093.a,1.136125277649728,28.720005,-88.38844,Free-living,Saline,Sediment (saline)
1642.MS00533,1.238564773483484,35.117,138.937,Host-associated,Plant,Plant rhizosphere
2229.W1.N31.EH1.Thomas.CMB.Seaweed.lane5.NoIndex.L005,1.0258553443311564,-31.768,152.8089,Host-associated,Plant,Plant surface
755.LSSF.GAMMA.D5.22.07.11.lane1.NoIndex.L001,0.9872077411585088,55.873,-4.284,Free-living,Non-saline,Soil (non-saline)
1773.Rhamp.carbo3.ugi,1.0203869806400805,8.878333,70.491111,Host-associated,Animal,Animal proximal gut
722.F11Fcsw.1.s.1.1.sequence,0.8696728141352165,40.015,-105.271,Host-associated,Animal,Animal distal gut
1453.45796SDZ4.F5.Pnem.jeju,0.8606323738590407,32.72,-117.16,Host-associated,Animal,Animal proximal gut
1453.44923SDZ3.C6.Pnem.stom,0.5192197629527883,32.72,-117.16,Host-associated,Animal,Animal proximal gut
550.L6S164.s.6.sequence,0.5579672538980791,40.015,-105.271,Host-associated,Animal,Animal secretion
1774.456.Inte.Puer,0.8810405138704733,18.47,-66.11,Host-associated,Animal,Animal distal gut
1883.2011.491.Crump.Artic.LTREB.main.lane4.NoIndex,1.495137347156192,70.06601667,-143.1903833,Free-living,Saline,Water (saline)
1632.E1F07.r.EMPbird.v4.NoIndex.L001,0.8030703830857384,37.28454722,-2.985819444,Host-associated,Animal,Animal surface
678.seasonal.insitu.sample.559,1.0720494754940422,50.338,-4.148,Free-living,Saline,Sediment (saline)
1521.69.W.s.6.1.sequences,1.03196872981695,40.02,-105.48,Free-living,Non-saline,Water (non-saline)
945.P4.F10.lane2.NoIndex.L002,1.9867686025612632,53.167,13.033,Free-living,Non-saline,Water (non-saline)
905.SA.Station.6.tF,1.0027546323771204,58.22,11.37,Free-living,Saline,Sediment (saline)
722.CL3.2.s.2.1.sequence,1.08724775926961,33.674,-80.766,Free-living,Non-saline,Soil (non-saline)
1883.2008.14.Crump.Artic.LTREB.main.lane2.NoIndex,1.1747146283719545,68.632586,-149.600895,Free-living,Non-saline,Sediment (non-saline)
1774.430.Oral.Puer,0.9998456742492052,18.47,-66.11,Host-associated,Animal,Animal secretion
1453.45187SDZ5.B7.Tfran.feces,0.932780252545084,32.72,-117.16,Host-associated,Animal,Animal proximal gut
809.PLRP13.35,0.9909897774813166,50.867,-121.736,Free-living,Non-saline,Surface (non-saline)
1721.R1B,1.1342173787826944,-28.833,153.417,Free-living,Non-saline,Soil (non-saline)
1622.DP.41.42A.1,1.0306795904888542,42.17566,-72.7,Free-living,Non-saline,Sediment (non-saline)
1198.SWE09.KBA2.SS4.5,1.0973958053737716,59.583,18.2,Free-living,Saline,Sediment (saline)
2382.SH004.C1.RH.2.607.rhizo.9.12.lane7.NoIndex.L007.sequences,1.2700007044329915,41.01489,-72.52841,Host-associated,Plant,Plant rhizosphere
1883.2002.042.Crump.Artic.LTREB.main.lane1.NoIndex,0.9996347215499072,68.61818333,-149.596766,Free-living,Non-saline,Water (non-saline)
1883.2011.112.Crump.Artic.LTREB.main.lane3.NoIndex,0.9509739649890256,68.585,-149.1966667,Free-living,Non-saline,Water (non-saline)
1883.2007.278.Crump.Artic.LTREB.main.lane2.NoIndex,1.0331534658411154,68.60853333,-149.587633,Free-living,Non-saline,Surface (non-saline)
2382.SH007.C6.RH.5.724.leav.9.12.lane8.NoIndex.L008.sequences,1.9972033559728328,41.0149,-72.52847,Host-associated,Plant,Plant corpus
804.H08.080105.Bio5slurpB1.0428.4.1,0.9627317658589544,30.124051,-42.119532,Free-living,Saline,Surface (saline)
933.N.1.2.H.E.2,1.0338832766253223,-34.01925,151.2315,Host-associated,Plant,Plant surface
804.3872.1530A,1.005330264107511,30.123465,-42.120082,Free-living,Saline,Surface (saline)
1665.flipper.tag.41,0.974139428634096,44.10369,-69.10893,Host-associated,Animal,Animal surface
2192.H03a.Bedroom.Floor.1348.lane5.NoIndex.L005,1.031335587320649,41.88,-87.63,Free-living,Non-saline,Surface (non-saline)
1696.CT0010.3A,1.2168388064567492,27.57,108.5,Host-associated,Animal,Animal distal gut
662.M2,1.0172267301854068,48.38,-124.73,Free-living,Saline,Surface (saline)
550.L6S116.s.6.sequence,0.550416930395514,40.015,-105.271,Host-associated,Animal,Animal secretion
550.L5S224.s.5.sequence,0.954065350349702,40.015,-105.271,Host-associated,Animal,Animal secretion
925.SE5x,1.0078634014828127,44.567,-110.863,Free-living,Non-saline,Surface (non-saline)
776.SC.C.T1C,1.0036701552914766,-62.05,-58.24,Free-living,Non-saline,Soil (non-saline)
910.CuracaoCCA4B,1.264153660880062,12.10975,-68.95636,Host-associated,Animal,Animal corpus
2192.H04a.Nose.1884.lane6.NoIndex.L006,1.0289857451329003,41.88,-87.63,Host-associated,Animal,Animal secretion
894.SV1305.lane5.NoIndex.L005,1.0046372088709294,-37.827006,145.415048,Host-associated,Animal,Animal distal gut
1673.MBS119.4D,1.1260708956379926,32.77074,-117.21865,Free-living,Saline,Sediment (saline)
805.pH.7.5.year.2006,1.232714721098089,57.183,-2.85,Free-living,Non-saline,Soil (non-saline)
755.INB.06.07.11.lane1.NoIndex.L001,1.1361229397238397,55.905,-3.204,Free-living,Non-saline,Water (non-saline)
2300.BB.07.lavage100,0.1272886334137551,47.937,-95.986,Host-associated,Animal,Animal distal gut
1034.ZKB1,1.2988646980916865,74.48197,-20.53207,Free-living,Non-saline,Soil (non-saline)
1717.KBC1.experimental.plot,1.3723696147710245,0.1015,34.511,Free-living,Non-saline,Soil (non-saline)
846.Fagna24102011Soil14B3,1.3109939755364572,43.984,11.342,Free-living,Non-saline,Soil (non-saline)
1579.MW.2.0,1.2419945232829197,20.123,-155.772,Free-living,Non-saline,Soil (non-saline)
1747.DZF.612012.RJ.fecal,0.5077109326075343,39.74,-104.98,Host-associated,Animal,Animal distal gut
1642.MS00459,1.2839983589408623,35.117,138.937,Host-associated,Plant,Plant rhizosphere
2300.BB.03.colon,0.4727200081610446,47.486,-93.605,Host-associated,Animal,Animal distal gut
2192.H03a.Hand.1495.lane6.NoIndex.L006,0.9877096887444048,41.88,-87.63,Host-associated,Animal,Animal surface
1622.UPMain.77.78,1.110818834566858,42.06,-71.37761,Free-living,Non-saline,Sediment (non-saline)
1674.McG.G110713Sp6,1.1547599234396395,40.646,-74.002,Free-living,Non-saline,Soil (non-saline)
804.H03.072705.R0631,1.0065292260648997,30.124394,-42.120486,Free-living,Saline,Surface (saline)
1521.Chi.2.s.8.1.sequences,1.0006616349278377,41.78,-87.75,Free-living,Non-saline,Aerosol (non-saline)
1642.MS00486,1.0240084294427336,35.117,138.937,Host-associated,Plant,Plant rhizosphere
2182.VHPBC0014,1.0352359573661094,27.4986,108.4474,Host-associated,Animal,Animal distal gut
1692.Soil.BE.PolygonC.Shallow.Rim.08.11.2012,1.4209348895337914,71.296,-156.766,Free-living,Non-saline,Soil (non-saline)
1883.2008.439.Crump.Artic.LTREB.main.lane2.NoIndex,1.05202976712113,68.585,-149.1966667,Free-living,Non-saline,Surface (non-saline)
2192.H06b.Bathroom.Door.Knob.3318.lane5.NoIndex.L005,0.9714138861493804,41.88,-87.63,Free-living,Non-saline,Surface (non-saline)
933.T.2.2.H.P.1,1.0041420011588107,-41.86463,148.278567,Host-associated,Plant,Plant surface
805.pH.6.5.year.2007,1.1220595273773362,57.183,-2.85,Free-living,Non-saline,Soil (non-saline)
1632.E4E07.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,1.123286231536967,37.17907778,-3.611505556,Host-associated,Animal,Animal surface
1064.H.CJV196,1.038722796694501,18.22,-65.99,Host-associated,Animal,Animal corpus
1622.UPMain.137.138,0.7644574146376332,42.06,-71.37761,Free-living,Non-saline,Sediment (non-saline)
755.LSSF.DELTA.D1.14.07.11.lane1.NoIndex.L001,1.06139529617404,55.873,-4.284,Free-living,Non-saline,Soil (non-saline)
638.FRX9.120710.1,1.0744929062989912,-77.364,163.743,Free-living,Non-saline,Water (non-saline)
550.L6S35.s.6.sequence,0.6886189802553928,40.015,-105.271,Host-associated,Animal,Animal secretion
963.Iguana.14.053010.BCO.vial.190,0.9875090113197332,9.162,-79.829,Host-associated,Animal,Animal distal gut
1521.Aphid8.s.7.1.sequences,1.0,19.9,-155.58,Host-associated,Animal,Animal secretion
910.AcrLT4,1.0336537932956045,17.47185,-149.84559,Host-associated,Animal,Animal corpus
1642.MS00385,1.1113167175767322,35.117,138.937,Host-associated,Plant,Plant rhizosphere
1721.R26M,1.126137404523568,-28.833,153.417,Free-living,Non-saline,Soil (non-saline)
1521.MZ.59b.s.8.1.sequences,0.8336714240542092,50.01,8.23,Free-living,Non-saline,Aerosol (non-saline)
723.C6.5m.L3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,0.945293854463445,78.712,-104.878,Free-living,Saline,Water (saline)
2192.H02a.Kitchen.Light.Switch.675.lane2.NoIndex.L002,1.0005203297155965,41.88,-87.63,Free-living,Non-saline,Surface (non-saline)
1622.UPMain.10.11B,1.4209283436509264,42.06,-71.37761,Free-living,Non-saline,Sediment (non-saline)
1453.44568SDZ5.G5.Pnem.feces,0.5323170627279892,32.72,-117.16,Host-associated,Animal,Animal proximal gut
1453.44568SDZ5.C8.Pnem.stom,0.7866334556055605,32.72,-117.16,Host-associated,Animal,Animal proximal gut
804.3869.1443E,1.0055517626315966,30.123934,-42.120154,Free-living,Saline,Surface (saline)
1747.907019.exhibit.dirt.plant,1.0683951962440872,30.47,-81.67,Host-associated,Plant,Plant corpus
1642.MS00560,0.6495252683684023,35.117,138.937,Host-associated,Plant,Plant rhizosphere
1235.sp1298,1.0564565280494935,78.933,11.883,Free-living,Saline,Water (saline)
1197.SD.20100920.GY.FFMT6.BC.015,1.0541975626310438,26.999739,-87.996706,Free-living,Saline,Sediment (saline)
1883.2007.092.Crump.Artic.LTREB.main.lane1.NoIndex,1.105085665156461,68.585839,-149.622223,Free-living,Non-saline,Sediment (non-saline)
1043.Hopland.20C.Wood.TP1.04,1.1119299434857302,38.99,-123.07,Free-living,Non-saline,Soil (non-saline)
678.OA.mesocosm.399,0.9993863337701618,50.338,-4.148,Free-living,Saline,Sediment (saline)
1747.DZF.672012.KK.fecal,1.2033682872577058,39.74,-104.98,Host-associated,Animal,Animal distal gut
1622.UPSub.10.11,1.2871714563662529,42.06,-71.37761,Free-living,Non-saline,Sediment (non-saline)
1453.45796SDZ4.E8.Pnem.duod,0.8016855057954687,32.72,-117.16,Host-associated,Animal,Animal proximal gut
2382.HE003.C181.HA.5.139.root.6.11.lane1.NoIndex.L001.sequences,1.0799748459105103,41.01023,-72.53063,Host-associated,Plant,Plant rhizosphere
1774.402.Vagi.Puer,0.8567973079481351,18.47,-66.11,Host-associated,Animal,Animal secretion
846.Fagna24102011Soil4C2,1.1971889621683376,43.985,11.342,Free-living,Non-saline,Soil (non-saline)
678.T.RFLP.Sample.823,1.129526585250792,50.338,-4.148,Free-living,Saline,Sediment (saline)
1453.45796SDZ4.G7.Pnem.stom,0.9934563578152004,32.72,-117.16,Host-associated,Animal,Animal proximal gut
945.P11.C9.lane3.NoIndex.L003,0.9998942591862908,53.517,12.7,Free-living,Non-saline,Water (non-saline)
933.N.3.3.S.E.4,1.0459986062575464,-31.83792,152.75383,Host-associated,Plant,Plant surface
894.YY1078.lane5.NoIndex.L005,1.3254576133856515,-37.53966,145.139673,Host-associated,Animal,Animal distal gut
2382.MU002.C3.HA.1.677.rhizo.9.12.lane7.NoIndex.L007.sequences,1.0095992106693523,41.06273,-72.4503,Host-associated,Plant,Plant rhizosphere
1883.2011.345.Crump.Artic.LTREB.main.lane4.NoIndex,0.9970552177289402,68.59688333,-149.60125,Free-living,Non-saline,Surface (non-saline)
2192.H07b.Nose.4164.lane1.NoIndex.L001,0.9582834503041264,41.88,-87.63,Host-associated,Animal,Animal secretion
1747.L00376.81512.leftarmpit,0.7270212577982464,25.915,-97.497,Host-associated,Animal,Animal surface
2382.SH005.C3.RH.5.672.rhizo.9.12.lane7.NoIndex.L007.sequences,1.184385004153406,41.0152,-72.52808,Host-associated,Plant,Plant rhizosphere
1242.ME14Sep10EB1R1,0.9380915334009768,43.107,-89.425,Free-living,Non-saline,Water (non-saline)
1240.1101TCDNA,0.935772132829491,50.15,-4.13,Free-living,Saline,Water (saline)
2192.H03a.Nose.1377.lane6.NoIndex.L006,1.003189243126159,41.88,-87.63,Host-associated,Animal,Animal secretion
1453.45796SDZ4.H4.Pnem.stom,1.0090548783813582,32.72,-117.16,Host-associated,Animal,Animal proximal gut
1289.KH24,1.1607869836027558,31.078,-97.39,Free-living,Non-saline,Soil (non-saline)
2229.S1.N33.EH5.Thomas.CMB.Seaweed.lane5.NoIndex.L005,1.0195683394048287,-31.8379,152.7538,Host-associated,Plant,Plant surface
1453.44923SDZ2.H3.Pnem.stom,0.1276345069122229,32.72,-117.16,Host-associated,Animal,Animal proximal gut
1521.SPL.Sum.9.s.8.1.sequences,0.9200656843783172,40.45,-106.74,Free-living,Non-saline,Aerosol (non-saline)
1578.Os.low.16to0.2,1.1277504468614363,71.256,-156.591,Free-living,Non-saline,Soil (non-saline)
925.SC4x,0.999188709319862,44.567,-110.863,Free-living,Non-saline,Surface (non-saline)
1674.McG.F110714Jr3R3,1.086916369196166,40.826,-73.94,Free-living,Non-saline,Soil (non-saline)
1622.UPMain.9.10,1.3388366764777284,42.06,-71.37761,Free-living,Non-saline,Sediment (non-saline)
1034.CHG3,0.9374857665050752,68.74776,161.59458,Free-living,Non-saline,Soil (non-saline)
1627.LMC,1.0775815131351525,34.59,80.37,Free-living,Saline,Sediment (saline)
2192.H03a.Kitchen.Light.Switch.1491.lane5.NoIndex.L005,0.990303036456902,41.88,-87.63,Free-living,Non-saline,Surface (non-saline)
1453.45300SDZ4.D4.Pnem.stom,1.0084006991339214,32.72,-117.16,Host-associated,Animal,Animal proximal gut
1197.SE.20100927.GY.ALTNF015.BC.070.a,1.1309422578032582,28.709925,-88.366436,Free-living,Saline,Sediment (saline)
933.T.2.3.S.E.3,1.0237708552395723,-41.8693167,148.303,Host-associated,Plant,Plant surface
958.O.22,0.3365261461205154,40.863,14.273,Host-associated,Animal,Animal secretion
550.L6S60.s.6.sequence,0.7061641421394366,40.015,-105.271,Host-associated,Animal,Animal secretion
1642.MS00390,0.9735167451723704,35.117,138.937,Host-associated,Plant,Plant rhizosphere
1621.Q8839,0.9554282313146664,42.444,-76.502,Host-associated,Animal,Animal distal gut
1064.G.CV93,1.00100120144173,18.22,-65.99,Host-associated,Animal,Animal corpus
1883.2008.116.Crump.Artic.LTREB.main.lane2.NoIndex,1.3251051130742133,68.59133,-149.611542,Free-living,Non-saline,Sediment (non-saline)
1734.LD.DTS1222,0.8944179578873317,-0.351,-76.058,Host-associated,Animal,Animal distal gut
1883.2007.101.Crump.Artic.LTREB.main.lane2.NoIndex,1.2138386108710608,68.59133,-149.611542,Free-living,Non-saline,Sediment (non-saline)
925.IC4x,1.34483359470291,44.532,-110.876,Free-living,Non-saline,Surface (non-saline)
1198.SWE24.KBB2.SS4.5,1.0835485031059735,59.583,18.2,Free-living,Saline,Sediment (saline)
1030.TVF.2004.Loc3.D0.Rep3,1.0488211867533304,64.35,-145.64,Free-living,Non-saline,Soil (non-saline)
1774.2BI22.10.09,1.0260144900431758,-2.4153,-64.9144,Host-associated,Animal,Animal surface
2192.H07b.Kitchen.Light.Switch.4107.lane2.NoIndex.L002,0.9977977368693888,41.88,-87.63,Free-living,Non-saline,Surface (non-saline)
1289.KH8,1.1440773216752629,31.078,-97.39,Free-living,Non-saline,Soil (non-saline)
1041.M028.10m.off.bottom,0.8255017361045047,43.8,-86.799,Free-living,Non-saline,Water (non-saline)
940.CR.38.Fecal,1.0016357281742088,39.1,-108.36,Host-associated,Animal,Animal distal gut
722.SLEpi20M.2.s.2.1.sequence,0.9763689004492015,46.009,-89.701,Free-living,Non-saline,Water (non-saline)
1036.P.C.21.2.s.4.1.sequences,1.0762122043569016,64.49,-157.75,Free-living,Non-saline,Soil (non-saline)
2300.BB.4067.colon,0.6506924395796777,48.4297,-96.28949,Host-associated,Animal,Animal distal gut
755.INA.10.05.11.lane1.NoIndex.L001,1.0625639862991432,55.905,-3.204,Free-living,Non-saline,Water (non-saline)
1883.2007.253.Crump.Artic.LTREB.main.lane2.NoIndex,0.9580024713160812,68.59688333,-149.60125,Free-living,Non-saline,Surface (non-saline)
1696.VH0010B,1.1542045491382302,1.404,103.791,Host-associated,Animal,Animal distal gut
1748.5.15.12.FI.14.V,0.6777390642226867,39.06,-108.55,Host-associated,Animal,Animal surface
1665.IFAW12.018Dd.A,0.981331688330039,41.93131,-70.04829,Host-associated,Animal,Animal surface
1642.MS00493,1.1359216017062843,35.117,138.937,Host-associated,Plant,Plant rhizosphere
1580.BBB.number1.filt.,1.017620136342524,17.975017,-67.01375,Free-living,Saline,Water (saline)
1526.HCanyon12R1,1.3373123639934117,37.55,-110.676,Free-living,Non-saline,Soil (non-saline)
1030.TVF.Control.Loc2.D10.Rep4,1.0505997979730273,64.33,-145.8,Free-living,Non-saline,Soil (non-saline)
2229.S1.N1.7.HE1.Thomas.CMB.Seaweed.lane6.NoIndex.L006,1.0347905102644284,-33.8006,151.2971,Host-associated,Plant,Plant surface
2338.0701.17.M,0.9994410692892468,9.75,-83.75,Host-associated,Animal,Animal distal gut
963.Iguana.47.060910.HPT.vial.246,0.6512142468570171,9.14,-79.829,Host-associated,Animal,Animal distal gut
1674.McG.F110714Jr1H3,1.0674206083320634,40.826,-73.94,Free-living,Non-saline,Soil (non-saline)
1453.44899SDZ3.G5.Pnem.duod,1.3013499699975055,32.72,-117.16,Host-associated,Animal,Animal proximal gut
1883.2010.294B.Crump.Artic.LTREB.main.lane3.NoIndex,1.083308699746151,68.585839,-149.622223,Free-living,Non-saline,Surface (non-saline)
2192.H07b.Kitchen.Floor.4178.lane6.NoIndex.L006,0.9871537162520522,41.88,-87.63,Free-living,Non-saline,Surface (non-saline)
1064.G.CV264,0.9962029294631034,18.22,-65.99,Host-associated,Animal,Animal corpus
678.OA.mesocosm.403,1.0314113936374334,50.338,-4.148,Free-living,Saline,Sediment (saline)
1774.8Oral22.10.09,0.907636507294016,-2.4153,-64.9144,Host-associated,Animal,Animal secretion
990.KA3U.D.23,1.64749127855124,41.840726,-88.230357,Free-living,Non-saline,Soil (non-saline)
2338.0627.2.I,0.544394112697205,9.75,-83.75,Host-associated,Animal,Animal distal gut
1883.2011.528.Crump.Artic.LTREB.main.lane4.NoIndex,1.086225335924238,70.07584,-144.08354,Free-living,Saline,Sediment (saline)
550.L4S124.s.4.sequence,0.9410748970346842,40.015,-105.271,Host-associated,Animal,Animal surface
1665.JMA2012AUG17.03,0.97746919069263,19.63999,-155.99693,Host-associated,Animal,Animal surface
1481.NA.15.T0,0.7659746726803391,40.7,14.5,Host-associated,Animal,Animal distal gut
1748.5.15.12.FI.9.D,0.9632117228707744,39.06,-108.55,Host-associated,Animal,Animal surface
1222.B5.5.17.06,1.013182631364847,60.27,5.22,Free-living,Saline,Water (saline)
2192.H05b.Kitchen.Light.Switch.2811.lane6.NoIndex.L006,0.9571909150388572,41.88,-87.63,Free-living,Non-saline,Surface (non-saline)
